G (motion_sensor_active -> F switch_on_Aeotec_Outlet_1)
G (motion_sensor_active -> F switch_on_Centralite_Outlet_1)
G (temperature_above_25C -> F switch_off_Aeotec_Outlet_1)
G (temperature_below_18C -> F switch_on_Aeotec_Outlet_1)
G (power_usage_high_Aeotec_Outlet_1 -> F switch_off_Aeotec_Outlet_1)
G (power_usage_low_Centralite_Outlet_1 -> F switch_off_Centralite_Outlet_1)
G (motion_sensor_inactive -> F switch_off_Aeotec_Outlet_1)
G (motion_sensor_inactive -> F switch_off_Centralite_Outlet_1)
G (battery_low -> F notify_user)
G (firmware_update_available -> F update_firmware_Aeotec_Outlet_1)
G (firmware_update_available -> F update_firmware_Centralite_Outlet_1)
G (temperature_above_30C -> F switch_on_Centralite_Outlet_1)
G (temperature_below_15C -> F switch_on_heater)
G (night_time -> F switch_on_lights)
G (day_time -> F switch_off_lights)
G (motion_detected_at_night -> F switch_on_security_lights)
G (motion_detected_in_garage -> F open_garage_door)
G (manual_switch_on_Aeotec_Outlet_1 -> F notify_user)
G (manual_switch_off_Aeotec_Outlet_1 -> F notify_user)
G (manual_switch_on_Centralite_Outlet_1 -> F notify_user)
G (manual_switch_off_Centralite_Outlet_1 -> F notify_user)
G (motion_sensor_active_and_temperature_above_25C -> F switch_on_fan)
G (motion_sensor_active_and_temperature_below_18C -> F switch_on_heater)
G (motion_sensor_inactive_and_night_time -> F switch_off_lights)
G (power_usage_high_and_day_time -> F switch_off_unused_devices)
G (power_usage_high_and_night_time -> F switch_off_unused_devices)
G (power_usage_low_and_day_time -> F switch_on_saving_mode)
G (power_usage_low_and_night_time -> F switch_on_saving_mode)
G (motion_detected_and_day_time -> F notify_user)
G (motion_detected_and_night_time -> F notify_security)
G (battery_low_Aeotec_Outlet_1 -> F notify_user)
G (battery_low_Centralite_Outlet_1 -> F notify_user)
G (motion_sensor_error -> F notify_user)
G (switch_error_Aeotec_Outlet_1 -> F notify_user)
G (switch_error_Centralite_Outlet_1 -> F notify_user)
G (hub_disconnected -> F notify_user)
G (hub_reconnected -> F notify_user)
G (motion_detected_away_from_home -> F alert_user)
G (motion_detected_home -> F switch_on_lights)
G (temperature_above_28C -> F switch_on_air_conditioner)
G (temperature_below_16C -> F switch_off_air_conditioner)
G (high_humidity -> F switch_on_dehumidifier)
G (low_humidity -> F switch_off_dehumidifier)
G (motion_sensor_active_and_high_humidity -> F switch_on_dehumidifier)
G (motion_sensor_active_and_low_humidity -> F switch_off_dehumidifier)
G (motion_sensor_inactive_and_high_humidity -> F switch_off_dehumidifier)
G (motion_sensor_inactive_and_low_humidity -> F switch_off_dehumidifier)
G (high_power_usage_and_day_time -> F switch_off_heavy_devices)
G (low_power_usage_and_day_time -> F switch_on_heavy_devices)
G (high_power_usage_and_night_time -> F switch_off_heavy_devices)
G (low_power_usage_and_night_time -> F switch_on_heavy_devices)
G (motion_sensor_active_and_firmware_update_available -> F notify_user)
G (motion_sensor_inactive_and_firmware_update_available -> F notify_user)
G (switch_on_Aeotec_Outlet_1 -> F log_event)
